date,open,high,low,close,volume,dividends,stock splits,rsi_14,sma_50,sma_200,bb_middle,bb_upper,bb_lower,macd,macd_signal,macd_hist,atr_14,momentum_14,roc_10,target
2003-05-19 00:00:00+05:30,460.0717198290478,469.76258625086194,455.4709906815874,466.8259582519531,203600,0.0,0.0,34.20636428777853,475.21689697265623,456.1613667297363,467.9614730834961,481.54202444712985,454.3809217198624,-4.733756149910164,-4.293660544869796,-0.4400956050403675,12.29188969662808,-0.04005632540314208,-0.6147713528491194,0
2003-05-20 00:00:00+05:30,460.07174950427776,467.9027580064783,460.07174950427776,465.7002868652344,149100,0.0,0.0,42.885575843306576,475.0612554931641,456.27075607299804,467.9834976196289,481.5470186349586,454.4199766042992,-4.392729339967673,-4.313474303889372,-0.07925503607830109,11.729036803294719,-0.014806375117346282,-1.907214917648703,1
2003-05-21 00:00:00+05:30,465.944993699576,473.7760019970478,464.966117662392,465.7492065429688,47600,0.0,0.0,42.94232164981941,475.02993041992187,456.4100015258789,468.25758209228513,481.3789306365816,455.1362335479887,-4.07158107480916,-4.26509565807333,0.19351458326416981,12.358314255770134,-0.014702885048745173,-1.5925623466380379,0
2003-05-22 00:00:00+05:30,465.9450029897916,469.7626136363411,460.0717466495841,465.2108459472656,131600,0.0,0.0,45.330572294083396,475.10040893554685,456.60797943115233,468.19395904541017,481.3637816632685,455.0241364275518,-3.816515546210553,-4.175379635700775,0.35886408949022197,11.994730986911021,-0.00927654383491272,0.1897252227744728,1
2003-05-23 00:00:00+05:30,469.7625764013549,482.3900705573173,462.0294621409535,475.39111328125,164400,0.0,0.0,55.008652875910116,475.37057922363283,456.8568586730957,468.6442398071289,482.16485583643424,455.1236237778235,-2.7610837288286803,-3.8925204543263563,1.131436725497676,12.417744443017227,0.01208713129831529,2.145334401105603,1
2003-05-26 00:00:00+05:30,478.67034399746217,485.5224757111273,475.83160969067137,480.8238830566406,80100,0.0,0.0,55.3173102889549,475.74940490722656,457.16789627075195,469.12878265380857,483.68023431993583,454.5773309876813,-1.4693297732552537,-3.407882318112136,1.9385525448568823,12.36180489887693,0.012783439336499614,2.632670732853626,1
2003-05-27 00:00:00+05:30,488.4591457592244,488.4591457592244,479.64926136677343,484.7883605957031,178700,0.0,0.0,59.65488444059616,475.9960821533203,457.4889677429199,469.0529220581055,483.2385539032859,454.86729021292507,-0.12427271351322133,-2.7511603971923533,2.626887683679132,12.435219721043463,0.024301913995765645,3.728129444085271,1
2003-05-28 00:00:00+05:30,488.361263165523,491.6405039599508,480.7749736569325,488.7528076171875,174600,0.0,0.0,72.37667093160582,476.3220483398438,457.7907063293457,469.85559997558596,486.5116035947108,453.19959635646114,1.2472153174972505,-1.9514852542544325,3.198700571751683,12.141559189844767,0.052598191199015654,4.598309741632156,1
2003-05-29 00:00:00+05:30,492.374627453046,499.1778275946586,486.55030331034607,493.4024353027344,190100,0.0,0.0,74.0740837935403,476.7126208496094,458.1289079284668,470.89075927734376,490.58683254716937,451.19468600751816,2.6784401677912797,-1.02550016984529,3.7039403376365696,12.267415988937293,0.06015353127774725,8.421166703985495,1
2003-05-30 00:00:00+05:30,490.51480101549527,503.6317342816766,490.51480101549527,501.918701171875,121100,0.0,0.0,76.28946639575328,476.9798553466797,458.5429727172852,472.5083541870117,496.5755440729721,448.44116430105134,4.448606884303047,0.06932124098437742,4.379285643318669,12.166031560536286,0.0713539532304468,10.091249869722896,1
