date,open,high,low,close,volume,dividends,stock splits,rsi_14,sma_50,sma_200,bb_middle,bb_upper,bb_lower,macd,macd_signal,macd_hist,atr_14,momentum_14,roc_10,target
2003-05-16 00:00:00+05:30,10.275148334435777,10.358070144050322,10.069644927645108,10.203042030334473,7762752,0.0,0.0,51.724139189147536,10.8814870262146,12.63305461883545,10.294794893264772,11.21038074813904,9.379209038390504,-0.23964651900526057,-0.27507389950787464,0.03542738050261407,0.5989978835317015,0.017985674488246062,4.312586415967989,0
2003-05-19 00:00:00+05:30,10.20303826528991,10.376092891171837,9.997534934332457,10.040799140930176,15027696,0.0,0.0,51.40505565125227,10.868724308013917,12.615224928855897,10.26613268852234,11.175508046401509,9.356757330643171,-0.23608286669528944,-0.26727569294535763,0.031192826250068195,0.5938474304834174,0.014941566739390177,-2.2464066165977625,0
2003-05-20 00:00:00+05:30,9.878560801021388,10.051615440645485,9.709110595354597,9.896587371826172,12345376,0.0,0.0,51.58185222486458,10.849255561828613,12.597926774024963,10.236749362945558,11.154388910483261,9.319109815407854,-0.24210450111947424,-0.26224145458018094,0.020136953460706708,0.5904996736268304,0.01704349775986924,-2.3479333216333886,0
2003-05-21 00:00:00+05:30,9.943456836325767,9.979509980910349,9.19715740357772,9.283684730529783,25397376,0.0,0.0,22.380121551657098,10.815654067993163,12.578476696014404,10.182309103012084,11.190739667427811,9.173878538596357,-0.2929557986079967,-0.26838432338574414,-0.02457147522225256,0.5181354207277381,-0.19455762781842612,-7.27401787166052,0
2003-05-22 00:00:00+05:30,9.36660515136692,9.370210685348331,8.74288628149024,8.87267780303955,15855456,0.0,0.0,33.333344996403085,10.770659790039062,12.556971583366394,10.08712878227234,11.212114845450968,8.96214271909371,-0.3622449085357413,-0.28715644041574356,-0.07508846811999775,0.4207917314154016,-0.09288625165031905,-13.1002794449807,0
2003-05-23 00:00:00+05:30,9.00607510863431,9.070970875174964,8.526568203246569,8.778940200805664,14942728,0.0,0.0,17.95677297623108,10.715714721679687,12.5332799577713,9.962204742431641,11.085546682528264,8.838862802335019,-0.41988074459994706,-0.3137013012525843,-0.10617944334736279,0.41667148534463383,-0.14531409434482556,-13.09777350821425,0
2003-05-26 00:00:00+05:30,8.796968473258795,8.796968473258795,8.479700647804309,8.613097190856934,8287848,0.0,0.0,17.737115862191743,10.671585769653321,12.506540231704712,9.891720819473267,11.165841690898981,8.617599948047554,-0.4734817024854774,-0.3456573814991629,-0.12782432098631447,0.40868831436337555,-0.15012447262049333,-13.723343421805057,0
2003-05-27 00:00:00+05:30,8.620304969842994,8.966414742644153,8.494118994835581,8.57343578338623,9860952,0.0,0.0,18.383630898732804,10.612530612945557,12.474538154602051,9.825743484497071,11.22963939053686,8.421847578457282,-0.5132448250431931,-0.379174870207969,-0.13406995483522416,0.41692902327433246,-0.14368025595008393,-15.433900456210548,1
2003-05-28 00:00:00+05:30,8.796964196030352,8.977229855785072,8.724857932128465,8.944782257080078,15859112,0.0,0.0,24.153210255051704,10.569555244445802,12.447023248672485,9.78644552230835,11.244495290926828,8.328395753689872,-0.5089262442448224,-0.4051251450153397,-0.10380109922948266,0.4007050352875794,-0.12394082618499802,-11.990088839557034,0
2003-05-29 00:00:00+05:30,9.01328363726216,9.132259091299456,8.851044531791441,8.941177368164062,20255456,0.0,0.0,25.23082282313564,10.517133922576905,12.421208148002625,9.657194709777832,10.909704419319528,8.404685000236135,-0.5000305809773504,-0.4241062322077419,-0.07592434876960852,0.4014776099570092,-0.11491797075902821,-12.33655269192261,0
